Ticker,YearMonth,ret_1m,ret_3m,ret_6m,ret_12m,momentum_accel,vol_1m,vol_3m,vol_6m,downside_vol_3m,avg_volume_1m,avg_volume_3m,volume_change_1m,volume_ratio_1m_3m,Log_Volume,log_volume_change_1m,market_cap_1m,log_market_cap_1m,market_cap_3m_avg,market_cap_change_1m,market_cap_ratio_1m_3m,log_market_cap_change_1m,ret_1m_rank,ret_3m_rank,ret_6m_rank,ret_12m_rank,vol_1m_rank,vol_3m_rank,vol_6m_rank,avg_volume_1m_rank,volume_ratio_1m_3m_rank,Log_Volume_rank,market_cap_1m_rank,market_cap_ratio_1m_3m_rank,log_market_cap_1m_rank,future_return_1m,label_top20
VZ,1/31/2025,-0.02039293,-0.042257181,-0.045085657,-0.100784391,-0.013595287,0.012684309,0.080358555,0.063923874,0.046077984,26599510,20440708.57,0.499274666,1.30130078,17.09640335,0.404981435,1.5549E+11,25.76984541,1.6086E+11,0.002450259,0.966612347,0.002447262,0.168316832,0.247524753,0.227722772,0.13,0.188118812,0.554455446,0.524752475,0.871287129,0.97029703,0.871287129,0.425742574,0.188118812,0.425742574,0.078038994,1
VZ,2/28/2025,0.078038994,-0.036907013,0.00652023,0.029219406,0.052025996,0.008323363,0.083507748,0.072318704,0.046077984,19399021.05,21246705.59,-0.27070006,0.913036657,16.78073316,-0.315670191,1.70135E+11,25.85985643,1.60245E+11,0.094186338,1.061718262,0.090011017,0.841584158,0.306930693,0.316831683,0.26,0.01980198,0.594059406,0.514851485,0.801980198,0.148514852,0.801980198,0.485148515,0.792079208,0.485148515,0.033964024,1
VZ,3/31/2025,0.033964024,0.091922484,-0.005177099,0.019539333,0.022642682,0.022331619,0.049305383,0.071037151,0.011773864,28847257.14,24948596.07,0.487047056,1.156267754,17.17752547,0.396792312,1.79056E+11,25.91096407,1.68227E+11,0.052436173,1.064372296,0.051107641,0.900990099,0.693069307,0.455445545,0.287128713,0.752475248,0.297029703,0.435643564,0.861386139,0.732673267,0.861386139,0.554455446,0.940594059,0.554455446,-0.029087696,0
VZ,4/30/2025,-0.029087696,0.082230832,0.036498808,0.059819251,-0.019391798,0.019388349,0.05384275,0.064937776,0.016793789,26981138.1,25075805.43,-0.064689653,1.07598291,17.11064859,-0.066876883,1.76718E+11,25.89781988,1.75303E+11,-0.013058183,1.008071601,-0.013144191,0.465346535,0.821782178,0.584158416,0.336633663,0.079207921,0.524752475,0.316831683,0.841584158,0.356435644,0.841584158,0.544554455,0.762376238,0.544554455,0.015242491,0
VZ,5/31/2025,0.015242491,0.019190152,-0.018425112,0.024985707,0.010161661,0.011329165,0.032381015,0.057391969,0.016793789,15025233.33,23617876.19,-0.443120847,0.636180544,16.52524157,-0.585407023,1.76317E+11,25.89554765,1.77363E+11,-0.002269649,0.994098146,-0.002272229,0.297029703,0.673267327,0.425742574,0.306930693,0.148514852,0.158415842,0.277227723,0.762376238,0.02970297,0.762376238,0.514851485,0.316831683,0.514851485,-0.018820817,0
VZ,6/30/2025,-0.018820817,-0.032840469,0.056063237,-0.000645874,-0.012547212,0.010562066,0.023205184,0.041262803,0.014751983,17344070,19783480.48,0.154329495,0.876694575,16.66876122,0.143519651,1.73549E+11,25.87972706,1.75528E+11,-0.015696104,0.988727229,-0.015820592,0.158415842,0.217821782,0.396039604,0.227722772,0.277227723,0.089108911,0.128712871,0.762376238,0.435643564,0.762376238,0.455445545,0.158415842,0.455445545,-0.021062316,0
VZ,7/31/2025,-0.021062316,-0.024846109,0.055341607,0.007760837,-0.014041544,0.012141343,0.020344419,0.041361629,0.01156769,20009040.91,17459448.08,0.153653145,1.146029406,16.81169477,0.142933556,1.74277E+11,25.8839104,1.74714E+11,0.004192108,0.99749608,0.004183345,0.445544555,0.257425743,0.564356436,0.297029703,0.346534654,0.138613861,0.128712871,0.851485149,0.891089109,0.851485149,0.475247525,0.405940594,0.475247525,0.031483173,0
VZ,8/31/2025,0.031483173,-0.009246718,0.009765987,0.016349894,0.020988782,0.007946886,0.029711233,0.028277653,0.01156769,15520076.19,17624395.7,-0.224346821,0.880601892,16.55764498,-0.254049793,1.80268E+11,25.91771053,1.76031E+11,0.034377848,1.024067793,0.033800133,0.405940594,0.267326733,0.386138614,0.297029703,0.02970297,0.158415842,0.03960396,0.782178218,0.366336634,0.782178218,0.465346535,0.504950495,0.465346535,0.003424692,0
VZ,9/30/2025,0.003424692,0.013215857,-0.020058627,-0.02513188,0.002283128,0.009565741,0.026292966,0.023749339,0.012160334,18106333.33,17878483.48,0.166639462,1.012744361,16.71177234,0.154127361,1.79127E+11,25.91135989,1.77891E+11,-0.006330519,1.006949742,-0.006350641,0.485148515,0.386138614,0.247524753,0.277227723,0.178217822,0.128712871,0.02970297,0.792079208,0.445544555,0.792079208,0.465346535,0.455445545,0.465346535,-0.093315081,0
VZ,10/31/2025,-0.093315081,-0.061566887,-0.084883298,-0.051482629,-0.062210054,0.018104038,0.065473234,0.043797967,0.053875487,33170747.83,22265719.12,0.831996971,1.48976764,17.31717896,0.605406613,1.64752E+11,25.8277093,1.74716E+11,-0.080247429,0.942973797,-0.08365059,0.118811881,0.168316832,0.128712871,0.247524753,0.584158416,0.643564356,0.326732673,0.891089109,0.99009901,0.891089109,0.396039604,0.118811881,0.396039604,0.041550528,0
